PurchaseID,No Nota,SupplierID,TransactionDate,Remarks,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy
96,1550,23,2015-06-02,,2018-05-02,Admin,,
97,1526,23,2015-02-05,,2018-05-02,Admin,,
98,1310,23,2015-01-17,,2018-05-02,Admin,,
99,1103,23,2014-12-29,,2018-05-02,Admin,,
100,10111,23,2014-08-14,,2018-05-02,Admin,,
101,8137,23,2013-12-18,,2018-05-02,Admin,,
102,8417,23,2014-01-22,,2018-05-02,Admin,,
103,9501,23,2014-10-06,,2018-05-02,Admin,,
104,8990,23,2014-10-04,,2018-05-02,Admin,,
105,8463,23,2014-01-30,,2018-05-02,Admin,,
106,8726,23,2014-06-05,,2018-05-02,Admin,,
107,3925,23,2015-09-28,,2018-05-02,Admin,,
108,L34038,27,2014-11-24,,2018-05-02,Admin,,
109,L30927,27,2014-09-08,,2018-05-02,Admin,,
110,L29248,27,2014-06-03,,2018-05-02,Admin,,
111,L29249,27,2014-06-03,,2018-05-02,Admin,,
112,L29250,27,2014-06-03,,2018-05-02,Admin,,
113,L29251,27,2014-06-03,,2018-05-02,Admin,,
114,L29252,27,2014-06-03,,2018-05-02,Admin,,
115,L29253,27,2014-06-03,,2018-05-02,Admin,,
116,L29254,27,2014-06-03,,2018-05-02,Admin,,
117,L29255,27,2014-06-03,,2018-05-02,Admin,,
118,L29256,27,2014-06-03,,2018-05-02,Admin,,
119,L29257,27,2014-06-03,,2018-05-02,Admin,,
120,L40209,27,2015-07-30,,2018-05-02,Admin,,
121,FSUR-00001,30,2015-10-29,,2018-05-02,Admin,,
122,010115025434FP,34,2015-09-15,,2018-05-02,Admin,,
123,089482/13,36,2013-06-04,,2018-05-02,Admin,,
124,089483/13,36,2013-06-04,,2018-05-02,Admin,,
125,089484/13,36,2013-06-04,,2018-05-02,Admin,,
126,089485/13,36,2013-06-04,,2018-05-02,Admin,,
127,089486/13,36,2013-06-04,,2018-05-02,Admin,,
128,089487/13,36,2013-06-04,,2018-05-02,Admin,,
129,089488/13,36,2013-06-04,,2018-05-02,Admin,,
130,089489/13,36,2013-06-04,,2018-05-02,Admin,,
131,38938,36,2013-06-04,,2018-05-02,Admin,,
132,089640/13,36,2013-06-07,,2018-05-02,Admin,,
133,089718/13,36,2013-06-07,,2018-05-02,Admin,,
134,089719/13,36,2013-06-07,,2018-05-02,Admin,,
135,089720/13,36,2013-06-07,,2018-05-02,Admin,,
136,089721/13,36,2013-06-07,,2018-05-02,Admin,,
137,089770/13,36,2013-06-07,,2018-05-02,Admin,,
138,089850/13,36,2013-06-13,,2018-05-02,Admin,,
139,089851/13,36,2013-06-13,,2018-05-02,Admin,,
140,089852/13,36,2013-06-13,,2018-05-02,Admin,,
141,089853/13,36,2013-06-13,,2018-05-02,Admin,,
142,089854/13,36,2013-06-13,,2018-05-02,Admin,,
143,099562/14,36,2014-03-26,,2018-05-02,Admin,,
144,F42388/14,36,2014-03-26,,2018-05-02,Admin,,
145,4001770691,42,2014-12-18,,2018-05-02,Admin,,
146,4001776081,42,2014-12-22,,2018-05-02,Admin,,
147,4001810186,42,2015-01-23,,2018-05-02,Admin,,
148,4001810169,42,2015-01-23,,2018-05-02,Admin,,
149,4001453915,43,2014-04-05,,2018-05-02,Admin,,
150,4001499246,43,2014-05-16,,2018-05-02,Admin,,
151,4001820524,44,2015-01-30,,2018-05-02,Admin,,
152,4001818785,44,2015-01-29,,2018-05-02,Admin,,
153,4001600534,44,2014-09-08,,2018-05-02,Admin,,
154,4001323754,44,2014-12-24,,2018-05-02,Admin,,
155,4001323685,44,2014-12-24,,2018-05-02,Admin,,
156,4001326143,44,2013-12-27,,2018-05-02,Admin,,
157,4001328451,44,2013-12-28,,2018-05-02,Admin,,
158,4001333707,44,2013-12-30,,2018-05-02,Admin,,
159,4001184185,45,2013-12-28,,2018-05-02,Admin,,
160,4001191095,45,2013-12-31,,2018-05-02,Admin,,
161,4001192535,45,2013-12-31,,2018-05-02,Admin,,
162,4001184405,45,2013-12-28,,2018-05-02,Admin,,
163,4001184629,45,2013-12-28,,2018-05-02,Admin,,
164,4001320968,45,2013-12-23,,2018-05-02,Admin,,
165,4001326143,45,2013-12-27,,2018-05-02,Admin,,
166,4001612049,45,2014-08-19,,2018-05-02,Admin,,
167,4001612070,45,2014-08-19,,2018-05-02,Admin,,
168,4001642860,45,2014-10-09,,2018-05-02,Admin,,
169,4001516723,45,2014-05-30,,2018-05-02,Admin,,
170,4001504357,45,2015-05-20,,2018-05-02,Admin,,
171,4001519010,45,2015-05-31,,2018-05-02,Admin,,
172,4001489492,45,2014-05-06,,2018-05-02,Admin,,
173,4001491300,45,2014-05-08,,2018-05-02,Admin,,
174,JT-0042421,49,2015-02-21,,2018-05-02,Admin,,
175,FJ1507-000322-D,49,2015-06-07,,2018-05-02,Admin,,
176,FJI1307-001133,51,2013-07-22,,2018-05-02,Admin,,
177,FJI1310-001629,51,2013-10-30,,2018-05-02,Admin,,
178,JT 026798,51,2013-12-19,,2018-05-02,Admin,,
179,FJI309-001365,51,2013-09-25,,2018-05-02,Admin,,
180,JT 42900,51,2015-02-28,,2018-05-02,Admin,,
181,JT 36958,51,2014-11-28,,2018-05-02,Admin,,
182,FD0124909,51,2014-08-14,,2018-05-02,Admin,,
183,F0121656,51,2014-06-04,,2018-05-02,Admin,,
184,F0120944,51,2014-05-19,,2018-05-02,Admin,,
185,F0120216,51,2014-05-03,,2018-05-02,Admin,,
186,JT 27806,51,2014-01-08,,2018-05-02,Admin,,
187,JT 29712,51,2014-01-08,,2018-05-02,Admin,,
188,JT 27806,51,2014-02-14,,2018-05-02,Admin,,
189,PJL0000752,63,2015-02-03,,2018-05-02,Admin,,
190,PJL0000739,63,2015-02-02,,2018-05-02,Admin,,
191,PJL00002861,63,2015-10-13,,2018-05-02,Admin,,
192,RJL 0003255,63,2015-11-10,,2018-05-02,Admin,,
193,PJL0003429,63,2015-11-23,,2018-05-02,Admin,,
194,PJL0003106,63,2015-10-30,,2018-05-02,Admin,,
195,PJL0003678,63,2015-12-14,,2018-05-02,Admin,,
196,VK-1415178,66,2014-11-20,,2018-05-02,Admin,,
197,VK-1415177,66,2014-11-20,,2018-05-02,Admin,,
198,VK-1413887,3/6/1900,2014-10-24,,2018-05-02,Admin,,
199,SP-1405903,3/6/1900,2014-10-24,,2018-05-02,Admin,,
200,CA-1400057,3/6/1900,2014-10-24,,2018-05-02,Admin,,
201,VK-1413934,3/6/1900,2014-10-27,,2018-05-02,Admin,,
202,SP-1404407,66,2014-08-07,,2018-05-02,Admin,,
203,VK-1410166,66,2014-08-08,,2018-05-02,Admin,,
204,VK-1406900,66,2014-05-14,,2018-05-02,Admin,,
205,SP-1403002,66,2014-05-14,,2018-05-02,Admin,,
206,VK-1505753,66,2014-05-26,,2018-05-02,Admin,,
207,VK-1502320,66,2015-09-03,,2018-05-02,Admin,,
208,VK-1502475,66,2015-12-03,,2018-05-02,Admin,,
209,SP-1501297,66,2015-04-09,,2018-05-02,Admin,,
210,VK-1503423,66,2015-04-04,,2018-05-02,Admin,,
211,VK-1504116,66,2015-04-18,,2018-05-02,Admin,,
212,VK1504742,66,2015-02-05,,2018-05-02,Admin,,
213,VK-1505982,66,2015-01-06,,2018-05-02,Admin,,
214,VK-1508166,66,2015-03-08,,2018-05-02,Admin,,
215,VK-1505831,66,2015-05-28,,2018-05-02,Admin,,
216,VK-1505812,66,2015-05-27,,2018-05-02,Admin,,
217,SP-1404922,67,2014-09-05,,2018-05-02,Admin,,
218,VK-1411531,67,2014-09-05,,2018-05-02,Admin,,
219,SP-1404232,67,2014-07-11,,2018-05-02,Admin,,
220,VK-1409725,67,2014-07-11,,2018-05-02,Admin,,
221,VK-1408440,67,2014-06-13,,2018-05-02,Admin,,
222,sp-1403664,67,2014-06-13,,2018-05-02,Admin,,
223,SP-1403656,67,2014-06-12,,2018-05-02,Admin,,
224,VK-1407404,67,2014-05-22,,2018-05-02,Admin,,
225,VK 1501151,67,2015-01-30,,2018-05-02,Admin,,
226,SP 15000419,67,2015-01-30,,2018-05-02,Admin,,
227,VK-1500840,67,2015-01-23,,2018-05-02,Admin,,
228,SP-1404922,67,2014-09-05,,2018-05-02,Admin,,
229,VK-1411531,67,2014-09-05,,2018-05-02,Admin,,
230,SP-1404232,67,2014-07-11,,2018-05-02,Admin,,
231,VK-1409725,67,2014-07-11,,2018-05-02,Admin,,
232,VK-1408440,67,2014-06-13,,2018-05-02,Admin,,
233,sp-1403664,67,2014-06-13,,2018-05-02,Admin,,
234,SP-1403656,67,2014-06-12,,2018-05-02,Admin,,
235,SP-1403204,67,2014-05-22,,2018-05-02,Admin,,
236,VK-1405553,67,2014-04-17,,2018-05-02,Admin,,
237,VK-1405454,67,2014-04-17,,2018-05-02,Admin,,
238,VK-1405569,67,2014-04-19,,2018-05-02,Admin,,
239,VK-1405882,67,2014-04-24,,2018-05-02,Admin,,
240,vk-1404781,67,2014-04-04,,2018-05-02,Admin,,
241,VK-1405367,67,2014-04-15,,2018-05-02,Admin,,
242,vk-1405377,67,2014-04-18,,2018-05-02,Admin,,
243,SP-1402417,67,2014-04-17,,2018-05-02,Admin,,
244,VK-1404780,67,2014-04-04,,2018-05-02,Admin,,
245,VK-1403617,67,2014-03-13,,2018-05-02,Admin,,
246,NA20140227,67,2014-02-27,,2018-05-02,Admin,,
247,VK-1404121,67,2014-03-21,,2018-05-02,Admin,,
248,VK-1403897,67,2014-03-18,,2018-05-02,Admin,,
249,VK-1402338,67,2014-02-18,,2018-05-02,Admin,,
250,SP-1401040,67,2014-02-18,,2018-05-02,Admin,,
251,SP-1400301,67,2014-01-18,,2018-05-02,Admin,,
252,SP-1400801,67,2014-01-18,,2018-05-02,Admin,,
253,VK-1401138,67,2014-01-18,,2018-05-02,Admin,,
254,VK 1501764,67,2015-02-12,,2018-05-02,Admin,,
255,021597/14,69,2014-10-21,,2018-05-02,Admin,,
256,021598/14,69,2014-10-21,,2018-05-02,Admin,,
257,018139/14,69,2014-09-01,,2018-05-02,Admin,,
258,016923/14,69,2014-09-15,,2018-05-02,Admin,,
259,VK1415177,70,2014-11-20,,2018-05-02,Admin,,
260,VK1415178,70,2014-11-20,,2018-05-02,Admin,,
261,A533,70,2014-10-24,,2018-05-02,Admin,,
262,vk1505753,71,2015-05-26,,2018-05-02,Admin,,
263,VK1507795,71,2015-08-07,,2018-05-02,Admin,,
264,vk1511450,71,2015-10-05,,2018-05-02,Admin,,
265,A533,71,2015-11-12,,2018-05-02,Admin,,
266,VK1513967,71,2015-11-25,,2018-05-02,Admin,,
267,15082400004,75,2015-08-24,,2018-05-02,Admin,,
268,YGY05968,75,2015-07-07,,2018-05-02,Admin,,
269,33777,79,2015-03-06,,2018-05-02,Admin,,
270,35334,79,2015-04-29,,2018-05-02,Admin,,
271,35962,79,2015-05-27,,2018-05-02,Admin,,
272,35963,79,2015-05-27,,2018-05-02,Admin,,
273,A1223,79,2014-07-08,,2018-05-02,Admin,,
274,A1495,79,2014-06-17,,2018-05-02,Admin,,
275,A1545,79,2014-10-06,,2018-05-02,Admin,,
276,A1797,79,2015-06-05,,2018-05-02,Admin,,
277,B000041,79,2014-10-08,,2018-05-02,Admin,,
278,B0621,79,2014-08-16,,2018-05-02,Admin,,
279,B0664,79,2014-08-14,,2018-05-02,Admin,,
