PurchaseID;PurchaseNumber;SupplierID;TransactionDate;PaymentTypeID;Deadline;Remarks;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
154;4037;22;2018-02-12;1;;;2018-08-21;Admin1;;
155;3130;22;2017-11-13;1;;;2018-08-21;Admin1;;
156;3834;22;2018-01-22;1;;;2018-08-21;Admin1;;
157;4139;22;2018-02-23;1;;;2018-08-21;Admin1;;
158;4456;22;2018-03-24;1;;;2018-08-21;Admin1;;
159;TJ2518;22;2018-05-02;1;;;2018-08-21;Admin1;;
160;tj3617;22;2017-06-03;1;;;2018-08-21;Admin1;;
161;TJ4/3/17;22;2017-03-04;1;;;2018-08-21;Admin1;;
162;tj7717;22;2017-07-07;1;;;2018-08-21;Admin1;;
163;TK10117;23;2017-01-10;1;;;2018-08-21;Admin1;;
164;tk27217;23;2017-02-27;1;;;2018-08-21;Admin1;;
165;TP10417;11;2017-04-10;1;;;2018-08-21;Admin1;;
166;TP11717;11;2017-07-11;1;;;2018-08-21;Admin1;;
167;TP12917;11;2017-09-12;1;;;2018-08-21;Admin1;;
168;TP22218;11;2018-02-22;1;;;2018-08-21;Admin1;;
169;TP23117;11;2017-01-23;1;;;2018-08-21;Admin1;;
170;TP28217;11;2017-02-28;1;;;2018-08-21;Admin1;;
171;TP41017;11;2017-10-04;1;;;2018-08-21;Admin1;;
172;TP61117;11;2017-11-06;1;;;2018-08-21;Admin1;;
173;TP8118;11;2018-01-08;1;;;2018-08-21;Admin1;;
174;TP81217;11;2017-12-08;1;;;2018-08-21;Admin1;;
175;UJ 2317;24;2017-03-02;1;;;2018-08-21;Admin1;;
176;AJM26117;7;2017-01-26;1;;;2018-08-21;Admin1;;
177;15/00/03/FPJ17/IBF103;13;2017-09-26;1;;;2018-08-21;Admin1;;
178;15/00/03/FP/17/IBF1004;13;2017-09-26;1;;;2018-08-21;Admin1;;
179;15/00/03/FP/17/IBF1005;13;2017-09-26;1;;;2018-08-21;Admin1;;
180;097775/17;13;2017-10-25;1;;;2018-08-21;Admin1;;
181;SN251017;13;2017-10-25;1;;;2018-08-21;Admin1;;
182;097771/17;6;2017-10-25;1;;;2018-08-21;Admin1;;
183;T4617;6;2017-06-04;1;;;2018-08-21;Admin1;;
184;T6217;6;2017-02-06;1;;;2018-08-21;Admin1;;
185;225;6;2018-02-07;1;;;2018-08-21;Admin1;;
186;T9417;6;2017-04-09;1;;;2018-08-21;Admin1;;
187;T9717;20;2017-07-09;1;;;2018-08-21;Admin1;;
188;VA2016020397;20;2016-02-20;1;;;2018-08-21;Admin1;;
189;va2016040408;20;2016-04-22;1;;;2018-08-21;Admin1;;
190;A533;20;2015-11-12;1;;;2018-08-21;Admin1;;
191;VA2016010397;20;2016-01-23;1;;;2018-08-21;Admin1;;
192;034348/15;20;2015-04-30;1;;;2018-08-21;Admin1;;
193;AJM 16616;20;2016-06-16;1;;;2018-08-21;Admin1;;
194;ajm14516;20;2016-05-14;1;;;2018-08-21;Admin1;;
195;AJM161216;20;2016-12-16;1;;;2018-08-21;Admin1;;
196;AJM21116;20;2016-11-21;1;;;2018-08-21;Admin1;;
197;AJM231216;20;2016-11-23;1;;;2018-08-21;Admin1;;
198;FB2881;20;2016-05-24;1;;;2018-08-21;Admin1;;
199;AJM24816;20;2016-08-24;1;;;2018-08-21;Admin1;;
200;AJM29616;20;2016-06-29;1;;;2018-08-21;Admin1;;
201;AJM6816;20;2016-06-08;1;;;2018-08-21;Admin1;;
202;i/sl-002208;20;2015-04-02;1;;;2018-08-21;Admin1;;
203;i/sl-0035317;20;2015-07-04;1;;;2018-08-21;Admin1;;
204;i/sl-0035316;20;2015-07-04;1;;;2018-08-21;Admin1;;
205;I/SL-003515;20;2015-07-04;1;;;2018-08-21;Admin1;;
206;2882;20;2016-04-30;1;;;2018-08-21;Admin1;;
207;BA191116;20;2016-11-19;1;;;2018-08-21;Admin1;;
208;FA3-15-1221/002;20;2015-12-21;1;;;2018-08-21;Admin1;;
209;FA3-IP-06525/002;2;2016-06-25;1;;;2018-08-21;Admin1;;
210;baut5516;2;2016-05-05;1;;;2018-08-21;Admin1;;
211;FA3-IP-0823;2;2016-08-23;1;;;2018-08-21;Admin1;;
212;L40209;2;2015-07-30;1;;;2018-08-21;Admin1;;
213;L44978;2;2016-01-29;1;;;2018-08-21;Admin1;;
214;010116000844FP;2;2016-01-13;1;;;2018-08-21;Admin1;;
215;010115025434FP;2;2015-09-15;1;;;2018-08-21;Admin1;;
216;MA201216;2;2016-12-20;1;;;2018-08-21;Admin1;;
217;010116039230FP;2;2016-11-26;1;;;2018-08-21;Admin1;;
218;MJ251116;2;2016-11-25;1;;;2018-08-21;Admin1;;
219;MM 4816;2;2016-04-08;1;;;2018-08-21;Admin1;;
220;BJ0001610-0059;2;2016-10-12;1;;;2018-08-21;Admin1;;
221;MM1916;2;2016-09-01;1;;;2018-08-21;Admin1;;
222;BJ1611-0102;2;2016-11-22;1;;;2018-08-21;Admin1;;
223;BJ1611-0196;20;2016-11-22;1;;;2018-08-21;Admin1;;
224;BJ1611-245;20;2016-11-22;1;;;2018-08-21;Admin1;;
225;MM23816;20;2016-08-23;1;;;2018-08-21;Admin1;;
226;MM4816;20;2016-04-08;1;;;2018-08-21;Admin1;;
227;OM 29816;20;2016-08-29;1;;;2018-08-21;Admin1;;
228;OM4816;20;2016-04-08;1;;;2018-08-21;Admin1;;
229;PJL00004787;20;2016-03-04;1;;;2018-08-21;Admin1;;
230;RJL 0003255;20;2015-11-10;1;;;2018-08-21;Admin1;;
231;PJL0004025;20;2016-01-11;1;;;2018-08-21;Admin1;;
232;PJL0004323;20;2016-02-01;1;;;2018-08-21;Admin1;;
233;PJL00002861;20;2015-10-13;1;;;2018-08-21;Admin1;;
234;PJL0003678;20;2015-12-14;1;;;2018-08-21;Admin1;;
235;PJL0004914;20;2016-03-14;1;;;2018-08-21;Admin1;;
236;PJL0009356;20;2016-11-18;1;;;2018-08-21;Admin1;;
237;RJ18816;20;2016-08-18;1;;;2018-08-21;Admin1;;
238;PJL0006519;20;2016-06-21;1;;;2018-08-21;Admin1;;
239;PJL0000739;20;2015-02-02;1;;;2018-08-21;Admin1;;
240;PJL0004594;20;2016-02-22;1;;;2018-08-21;Admin1;;
241;PJL0003429;20;2015-11-23;1;;;2018-08-21;Admin1;;
242;PJL0004219;20;2016-01-23;1;;;2018-08-21;Admin1;;
243;PJL0004215;20;2016-01-23;1;;;2018-08-21;Admin1;;
244;PJL0006718;20;2016-06-29;1;;;2018-08-21;Admin1;;
245;PJL0003106;20;2015-10-30;1;;;2018-08-21;Admin1;;
246;PJL0000752;20;2015-03-02;1;;;2018-08-21;Admin1;;
247;RJM 93931;20;2016-01-05;1;;;2018-08-21;Admin1;;
248;PJL9746;20;2016-12-05;1;;;2018-08-21;Admin1;;
249;PJL0003579;20;2015-12-07;1;;;2018-08-21;Admin1;;
250;PJL9797;20;2016-12-07;1;;;2018-08-21;Admin1;;
251;PJL0004410;20;2016-02-09;1;;;2018-08-21;Admin1;;
252;5735;20;2016-05-09;1;;;2018-08-21;Admin1;;
253;PJL8863;20;2016-10-26;1;;;2018-08-21;Admin1;;
254;PJL8942;20;2016-10-31;1;;;2018-08-21;Admin1;;
255;PJL0008468;20;2016-10-08;1;;;2018-08-21;Admin1;;
256;034349/15;20;2015-04-30;1;;;2018-08-21;Admin1;;
257;034351/15;20;2015-04-30;1;;;2018-08-21;Admin1;;
258;SN_11616;20;2016-06-11;1;;;2018-08-21;Admin1;;
259;016923/14;20;2015-09-15;1;;;2018-08-21;Admin1;;
260;051208/16;20;2016-01-16;1;;;2018-08-21;Admin1;;
261;027530/15;1;2015-01-19;1;;;2018-08-21;Admin1;;
262;027525/15;1;2015-01-19;1;;;2018-08-21;Admin1;;
