PurchaseDetailsID;PurchaseID;ItemID;ItemDetailsID;BranchID;Quantity;BuyPrice;RetailPrice;Price1;Price2;CreatedDate;CreatedBy;ModifiedDate;ModifiedBy
4076;668;4028;;1;2;107500;145000;0;0;2018-08-21;Admin1;;
4077;668;4029;;1;2;110000;150000;0;0;2018-08-21;Admin1;;
4078;668;4030;;1;1;105000;150000;0;0;2018-08-21;Admin1;;
4079;669;4031;;1;1;10000;20000;0;0;2018-08-21;Admin1;;
4080;669;4032;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4081;664;4033;;1;2;145000;180000;0;0;2018-08-21;Admin1;;
4082;669;4034;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4083;669;4035;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4084;669;4036;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4085;669;4037;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4086;669;4038;;1;2;64000;75000;0;0;2018-08-21;Admin1;;
4087;669;4039;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4088;669;4040;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4089;669;4041;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4090;669;4042;;1;2;70000;85000;0;0;2018-08-21;Admin1;;
4091;669;4043;;1;2;57500;70000;0;0;2018-08-21;Admin1;;
4092;664;4044;;1;3;190000;230000;0;0;2018-08-21;Admin1;;
4093;669;4045;;1;2;82500;95000;0;0;2018-08-21;Admin1;;
4094;669;4046;;1;1;82500;95000;0;0;2018-08-21;Admin1;;
4095;669;4047;;1;2;30000;50000;0;0;2018-08-21;Admin1;;
4096;669;4048;;1;2;30000;50000;0;0;2018-08-21;Admin1;;
4097;669;4049;;1;2;30000;50000;0;0;2018-08-21;Admin1;;
4098;669;4050;;1;2;52500;75000;0;0;2018-08-21;Admin1;;
4099;669;4051;;1;2;52500;75000;0;0;2018-08-21;Admin1;;
4100;670;4052;;1;1;33000;50000;0;0;2018-08-21;Admin1;;
4101;670;4053;;1;2;28000;45000;0;0;2018-08-21;Admin1;;
4102;670;4054;;1;2;30000;45000;0;0;2018-08-21;Admin1;;
4103;664;4055;;1;3;190000;230000;0;0;2018-08-21;Admin1;;
4104;670;4056;;1;4;27500;45000;0;0;2018-08-21;Admin1;;
4105;670;4057;;1;5;30000;45000;0;0;2018-08-21;Admin1;;
4106;670;4058;;1;2;30000;45000;0;0;2018-08-21;Admin1;;
4107;670;4059;;1;1;30000;45000;0;0;2018-08-21;Admin1;;
4108;670;4060;;1;2;30000;45000;0;0;2018-08-21;Admin1;;
4109;670;4061;;1;2;30000;45000;0;0;2018-08-21;Admin1;;
4110;670;4062;;1;3;12500;25000;0;0;2018-08-21;Admin1;;
4111;670;4063;;1;2;47500;60000;0;0;2018-08-21;Admin1;;
4112;670;4064;;1;1;9000;17500;0;0;2018-08-21;Admin1;;
4113;670;4065;;1;2;165000;200000;0;0;2018-08-21;Admin1;;
4114;664;4066;;1;3;27500;35000;0;0;2018-08-21;Admin1;;
4115;670;4067;;1;2;105000;150000;0;0;2018-08-21;Admin1;;
4116;670;4068;;1;2;120000;160000;0;0;2018-08-21;Admin1;;
4117;670;4069;;1;2;60000;80000;0;0;2018-08-21;Admin1;;
4118;670;4070;;1;2;60000;80000;0;0;2018-08-21;Admin1;;
4119;670;4071;;1;1;60000;80000;0;0;2018-08-21;Admin1;;
4120;670;4072;;1;4;11000;25000;0;0;2018-08-21;Admin1;;
4121;671;4073;;1;3;15000;27500;0;0;2018-08-21;Admin1;;
4122;671;4074;;1;1;235000;260000;0;0;2018-08-21;Admin1;;
4123;671;4075;;1;1;235000;260000;0;0;2018-08-21;Admin1;;
4124;664;4076;;1;3;27500;35000;0;0;2018-08-21;Admin1;;
4125;671;4077;;1;1;235000;260000;0;0;2018-08-21;Admin1;;
4126;671;4078;;1;1;235000;260000;0;0;2018-08-21;Admin1;;
4127;671;4079;;1;1;235000;260000;0;0;2018-08-21;Admin1;;
4128;671;4080;;1;1;235000;260000;0;0;2018-08-21;Admin1;;
4129;671;4081;;1;1;235000;260000;0;0;2018-08-21;Admin1;;
4130;671;4082;;1;3;17500;25000;0;0;2018-08-21;Admin1;;
4131;671;4083;;1;3;10000;17500;0;0;2018-08-21;Admin1;;
4132;671;4084;;1;10;10000;17500;0;0;2018-08-21;Admin1;;
4133;671;4085;;1;10;9000;17500;0;0;2018-08-21;Admin1;;
4134;671;4086;;1;9;7000;12500;0;0;2018-08-21;Admin1;;
4135;664;4087;;1;9;18500;27500;0;0;2018-08-21;Admin1;;
4136;671;4088;;1;6;10000;15000;0;0;2018-08-21;Admin1;;
4137;671;4089;;1;20;1100;2500;0;0;2018-08-21;Admin1;;
4138;671;4090;;1;20;1100;2500;0;0;2018-08-21;Admin1;;
4139;671;4091;;1;20;1100;2500;0;0;2018-08-21;Admin1;;
4140;671;4092;;1;20;1100;2500;0;0;2018-08-21;Admin1;;
4141;672;4093;;1;20;1100;2500;0;0;2018-08-21;Admin1;;
4142;672;4094;;1;18;1100;2500;0;0;2018-08-21;Admin1;;
4143;672;4095;;1;3;35000;42500;0;0;2018-08-21;Admin1;;
4144;672;4096;;1;1;35000;42500;0;0;2018-08-21;Admin1;;
4145;672;4097;;1;3;35000;42500;0;0;2018-08-21;Admin1;;
4146;632;4098;;1;2;87500;110000;0;0;2018-08-21;Admin1;;
4147;664;4099;;1;2;22500;30000;0;0;2018-08-21;Admin1;;
4148;672;4100;;1;3;35000;42500;0;0;2018-08-21;Admin1;;
4149;672;4101;;1;3;35000;42500;0;0;2018-08-21;Admin1;;
4150;672;4102;;1;3;37500;45000;0;0;2018-08-21;Admin1;;
4151;672;4103;;1;3;37500;45000;0;0;2018-08-21;Admin1;;
4152;672;4104;;1;3;37500;45000;0;0;2018-08-21;Admin1;;
4153;672;4105;;1;3;37500;45000;0;0;2018-08-21;Admin1;;
4154;672;4106;;1;2;40000;47500;0;0;2018-08-21;Admin1;;
4155;672;4107;;1;3;40000;47500;0;0;2018-08-21;Admin1;;
4156;672;4108;;1;3;40000;47500;0;0;2018-08-21;Admin1;;
4157;672;4109;;1;3;40000;47500;0;0;2018-08-21;Admin1;;
4158;664;4110;;1;2;22500;30000;0;0;2018-08-21;Admin1;;
4159;672;4111;;1;3;40000;32500;0;0;2018-08-21;Admin1;;
4160;672;4112;;1;3;22000;27500;0;0;2018-08-21;Admin1;;
4161;672;4113;;1;3;15500;35000;0;0;2018-08-21;Admin1;;
4162;672;4114;;1;3;27500;42500;0;0;2018-08-21;Admin1;;
4163;673;4115;;1;2;27000;42500;0;0;2018-08-21;Admin1;;
4164;673;4116;;1;3;27000;42500;0;0;2018-08-21;Admin1;;
4165;673;4117;;1;3;27000;42500;0;0;2018-08-21;Admin1;;
4166;673;4118;;1;3;27000;42500;0;0;2018-08-21;Admin1;;
4167;673;4119;;1;3;36000;45000;0;0;2018-08-21;Admin1;;
4168;673;4120;;1;2;36000;45000;0;0;2018-08-21;Admin1;;
4169;664;4121;;1;2;22500;30000;0;0;2018-08-21;Admin1;;
4170;673;4122;;1;4;37500;45000;0;0;2018-08-21;Admin1;;
4171;673;4123;;1;3;32000;45000;0;0;2018-08-21;Admin1;;
4172;673;4124;;1;3;32000;45000;0;0;2018-08-21;Admin1;;
4173;673;4125;;1;3;32000;45000;0;0;2018-08-21;Admin1;;
4174;673;4126;;1;3;32000;45000;0;0;2018-08-21;Admin1;;
4175;673;4127;;1;3;32000;45000;0;0;2018-08-21;Admin1;;
4176;673;4128;;1;2;35000;55000;0;0;2018-08-21;Admin1;;
4177;673;4129;;1;3;20000;30000;0;0;2018-08-21;Admin1;;
4178;673;4130;;1;3;52500;32000;0;0;2018-08-21;Admin1;;
4179;673;4131;;1;3;27500;32500;0;0;2018-08-21;Admin1;;
4180;664;4132;;1;2;22500;30000;0;0;2018-08-21;Admin1;;
4181;673;4133;;1;3;22500;30000;0;0;2018-08-21;Admin1;;
4182;673;4134;;1;3;52500;75000;0;0;2018-08-21;Admin1;;
4183;673;4135;;1;1;62500;85000;0;0;2018-08-21;Admin1;;
4184;674;4136;;1;3;12500;17500;0;0;2018-08-21;Admin1;;
4185;674;4137;;1;3;12500;17500;0;0;2018-08-21;Admin1;;
4186;674;4138;;1;3;20000;30000;0;0;2018-08-21;Admin1;;
4187;674;4139;;1;3;13000;15000;0;0;2018-08-21;Admin1;;
4188;674;4140;;1;3;13000;15000;0;0;2018-08-21;Admin1;;
4189;674;4141;;1;3;13000;15000;0;0;2018-08-21;Admin1;;
4190;674;4142;;1;2;10000;17500;0;0;2018-08-21;Admin1;;
4191;664;4143;;1;1;22500;30000;0;0;2018-08-21;Admin1;;
4192;674;4144;;1;3;10000;17500;0;0;2018-08-21;Admin1;;
4193;674;4145;;1;3;18000;27500;0;0;2018-08-21;Admin1;;
4194;674;4146;;1;5;20000;35000;0;0;2018-08-21;Admin1;;
4195;674;4147;;1;5;10000;12500;0;0;2018-08-21;Admin1;;
4196;674;4148;;1;4;15000;25000;0;0;2018-08-21;Admin1;;
4197;674;4149;;1;5;15000;25000;0;0;2018-08-21;Admin1;;
4198;674;4150;;1;5;18500;25000;0;0;2018-08-21;Admin1;;
4199;674;4151;;1;5;10000;20000;0;0;2018-08-21;Admin1;;
4200;675;4152;;1;1;9000;15000;0;0;2018-08-21;Admin1;;
4201;675;4153;;1;3;19000;30000;0;0;2018-08-21;Admin1;;
4202;676;4154;;1;2;14500;27500;0;0;2018-08-21;Admin1;;
4203;675;4155;;1;3;19000;30000;0;0;2018-08-21;Admin1;;
4204;675;4156;;1;2;19000;30000;0;0;2018-08-21;Admin1;;
4205;675;4157;;1;2;69000;85000;0;0;2018-08-21;Admin1;;
4206;675;4158;;1;2;69000;85000;0;0;2018-08-21;Admin1;;
4207;675;4159;;1;2;69000;85000;0;0;2018-08-21;Admin1;;
4208;675;4160;;1;3;14000;25000;0;0;2018-08-21;Admin1;;
